"idhod","hodnota","stapro_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","rok","tyden","roktyden","casref_od","casref_do","vek_txt","priznak"
"1326741714","2286","5393",,,"97","19","2011","11","2011-W11","2011-03-14","2011-03-20","celkem",
"1326176746","12","5393","7700","400000610015000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","0-14",
"1326644229","63","5393","7700","410015610045000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","15-44",
"1326753450","437","5393","7700","410045610065000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","45-64",
"1326646392","407","5393","7700","410065610075000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","65-74",
"1326485776","644","5393","7700","410075610085000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","75-84",
"1326863734","517","5393","7700","410085799999000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","85 a více",
"1326653863","2080","5393",,,"97","19","2011","12","2011-W12","2011-03-21","2011-03-27","celkem",
"1326493748","8","5393","7700","400000610015000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","0-14",
"1326645334","67","5393","7700","410015610045000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","15-44",
"1326226992","376","5393","7700","410045610065000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","45-64",
"1326980262","423","5393","7700","410065610075000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","65-74",
"1326740644","705","5393","7700","410075610085000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","75-84",
"1326409422","517","5393","7700","410085799999000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","85 a více",
"1326741155","2096","5393",,,"97","19","2011","13","2011-W13","2011-03-28","2011-04-03","celkem",
"1326175048","9","5393","7700","400000610015000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","0-14",
"1326500392","57","5393","7700","410015610045000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","15-44",
"1326753716","375","5393","7700","410045610065000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","45-64",
"1326191754","417","5393","7700","410065610075000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","65-74",
"1326738789","664","5393","7700","410075610085000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","75-84",
"1326985976","538","5393","7700","410085799999000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","85 a více",
"1326307052","2060","5393",,,"97","19","2011","14","2011-W14","2011-04-04","2011-04-10","celkem",
"1326174756","7","5393","7700","400000610015000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","0-14",
"1326189066","58","5393","7700","410015610045000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","15-44",
"1326402452","394","5393","7700","410045610065000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","45-64",
"1326856429","404","5393","7700","410065610075000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","65-74",
"1326984211","668","5393","7700","410075610085000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","75-84",
"1326985869","493","5393","7700","410085799999000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","85 a více",
"1326741305","2024","5393",,,"97","19","2011","15","2011-W15","2011-04-11","2011-04-17","celkem",
"1326495436","11","5393","7700","400000610015000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","0-14",
"1326189067","78","5393","7700","410015610045000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","15-44",
"1326734910","450","5393","7700","410045610065000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","45-64",
"1326979033","419","5393","7700","410065610075000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","65-74",
"1326664800","668","5393","7700","410075610085000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","75-84",
"1326487382","524","5393","7700","410085799999000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","85 a více",
"1326986490","2150","5393",,,"97","19","2011","16","2011-W16","2011-04-18","2011-04-24","celkem",
"1326493757","5","5393","7700","400000610015000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","0-14",
